VARIABLE_NAME,DESCRIPTION,LOCATION,XPATH
AFL-PC-01-AFFLANAME1TT,Business Name Line 1,F990-PC-PART-00-SECTION-HB1B-col-a-01,Return/ReturnData/AffiliateListing/Affiliate/Name
AFL-PC-01-AFFLANAME1TT,Business Name Line 1,F990-PC-PART-00-SECTION-HB1B-col-a-01,Return/ReturnData/AffiliateListing/Affiliate/Name/BusinessNameLine1
AFL-PC-01-AFFLANAME1TT,Business Name Line 1,F990-PC-PART-00-SECTION-HB1B-col-a-01,Return/ReturnData/AffiliateListing/AffiliateListingGrp/BusinessName/BusinessNameLine1
AFL-PC-01-AFFLANAME1TT,Business Name Line 1,F990-PC-PART-00-SECTION-HB1B-col-a-01,Return/ReturnData/AffiliateListing/AffiliateListingGrp/BusinessName/BusinessNameLine1Txt
AFL-PC-01-AFFLANAME2TT,Business Name Line 2,F990-PC-PART-00-SECTION-HB1B-col-a-02,Return/ReturnData/AffiliateListing/Affiliate/Name/BusinessNameLine2
AFL-PC-01-AFFLANAME2TT,Business Name Line 2,F990-PC-PART-00-SECTION-HB1B-col-a-02,Return/ReturnData/AffiliateListing/AffiliateListingGrp/BusinessName/BusinessNameLine2
AFL-PC-01-AFFLANAME2TT,Business Name Line 2,F990-PC-PART-00-SECTION-HB1B-col-a-02,Return/ReturnData/AffiliateListing/AffiliateListingGrp/BusinessName/BusinessNameLine2Txt
AFL-PC-01-AFFLANAMECTT,Business Control Text,F990-PC-PART-00-SECTION-HB1B-col-a-03,Return/ReturnData/AffiliateListing/Affiliate/NameControl
AFL-PC-01-AFFLANAMECTT,Business Control Text,F990-PC-PART-00-SECTION-HB1B-col-a-03,Return/ReturnData/AffiliateListing/AffiliateListingGrp/BusinessNameControlTxt
AFL-PC-01-AFFLUSADRLIN1,US-Address-Line-1,F990-PC-PART-00-SECTION-HB1B-col-b-01a,Return/ReturnData/AffiliateListing/Affiliate/AddressUS
AFL-PC-01-AFFLUSADRLIN1,US-Address-Line-1,F990-PC-PART-00-SECTION-HB1B-col-b-01a,Return/ReturnData/AffiliateListing/Affiliate/AddressUS/AddressLine1
AFL-PC-01-AFFLUSADRLIN1,US-Address-Line-1,F990-PC-PART-00-SECTION-HB1B-col-b-01a,Return/ReturnData/AffiliateListing/AffiliateListingGrp/USAddress/AddressLine1
AFL-PC-01-AFFLUSADRLIN1,US-Address-Line-1,F990-PC-PART-00-SECTION-HB1B-col-b-01a,Return/ReturnData/AffiliateListing/AffiliateListingGrp/USAddress/AddressLine1Txt
AFL-PC-01-AFFLUSADRLIN2,US-Address-Line-2,F990-PC-PART-00-SECTION-HB1B-col-b-01b,Return/ReturnData/AffiliateListing/Affiliate/AddressUS/AddressLine2
AFL-PC-01-AFFLUSADRLIN2,US-Address-Line-2,F990-PC-PART-00-SECTION-HB1B-col-b-01b,Return/ReturnData/AffiliateListing/AffiliateListingGrp/USAddress/AddressLine2
AFL-PC-01-AFFLUSADRLIN2,US-Address-Line-2,F990-PC-PART-00-SECTION-HB1B-col-b-01b,Return/ReturnData/AffiliateListing/AffiliateListingGrp/USAddress/AddressLine2Txt
AFL-PC-01-AFFLUSADRCTN,US-Address-City,F990-PC-PART-00-SECTION-HB1B-col-b-01c,Return/ReturnData/AffiliateListing/Affiliate/AddressUS/City
AFL-PC-01-AFFLUSADRCTN,US-Address-City,F990-PC-PART-00-SECTION-HB1B-col-b-01c,Return/ReturnData/AffiliateListing/AffiliateListingGrp/USAddress/City
AFL-PC-01-AFFLUSADRCTN,US-Address-City,F990-PC-PART-00-SECTION-HB1B-col-b-01c,Return/ReturnData/AffiliateListing/AffiliateListingGrp/USAddress/CityNm
AFL-PC-01-AFFLUSADRSTN,US-Address-State,F990-PC-PART-00-SECTION-HB1B-col-b-01d,Return/ReturnData/AffiliateListing/Affiliate/AddressUS/State
AFL-PC-01-AFFLUSADRSTN,US-Address-State,F990-PC-PART-00-SECTION-HB1B-col-b-01d,Return/ReturnData/AffiliateListing/AffiliateListingGrp/USAddress/State
AFL-PC-01-AFFLUSADRSTN,US-Address-State,F990-PC-PART-00-SECTION-HB1B-col-b-01d,Return/ReturnData/AffiliateListing/AffiliateListingGrp/USAddress/StateAbbreviationCd
AFL-PC-01-AFFLUSADRZTN,US-Address-Zipcode,F990-PC-PART-00-SECTION-HB1B-col-b-01e,Return/ReturnData/AffiliateListing/Affiliate/AddressUS/ZIPCode
AFL-PC-01-AFFLUSADRZTN,US-Address-Zipcode,F990-PC-PART-00-SECTION-HB1B-col-b-01e,Return/ReturnData/AffiliateListing/AffiliateListingGrp/USAddress/ZIPCode
AFL-PC-01-AFFLUSADRZTN,US-Address-Zipcode,F990-PC-PART-00-SECTION-HB1B-col-b-01e,Return/ReturnData/AffiliateListing/AffiliateListingGrp/USAddress/ZIPCd
AFL-PC-01-AFFLFORNNLIN1,Foreign-Address-Line-1,F990-PC-PART-00-SECTION-HB1B-col-b-02a,Return/ReturnData/AffiliateListing/Affiliate/AddressForeign
AFL-PC-01-AFFLFORNNLIN1,Foreign-Address-Line-1,F990-PC-PART-00-SECTION-HB1B-col-b-02a,Return/ReturnData/AffiliateListing/Affiliate/AddressForeign/AddressLine1
AFL-PC-01-AFFLFORNNLIN1,Foreign-Address-Line-1,F990-PC-PART-00-SECTION-HB1B-col-b-02a,Return/ReturnData/AffiliateListing/AffiliateListingGrp/ForeignAddress/AddressLine1
AFL-PC-01-AFFLFORNNLIN1,Foreign-Address-Line-1,F990-PC-PART-00-SECTION-HB1B-col-b-02a,Return/ReturnData/AffiliateListing/AffiliateListingGrp/ForeignAddress/AddressLine1Txt
AFL-PC-01-AFFLFORNNLIN2,Foreign-Address-Line-2,F990-PC-PART-00-SECTION-HB1B-col-b-02b,Return/ReturnData/AffiliateListing/Affiliate/AddressForeign/AddressLine2
AFL-PC-01-AFFLFORNNLIN2,Foreign-Address-Line-2,F990-PC-PART-00-SECTION-HB1B-col-b-02b,Return/ReturnData/AffiliateListing/AffiliateListingGrp/ForeignAddress/AddressLine2
AFL-PC-01-AFFLFORNNLIN2,Foreign-Address-Line-2,F990-PC-PART-00-SECTION-HB1B-col-b-02b,Return/ReturnData/AffiliateListing/AffiliateListingGrp/ForeignAddress/AddressLine2Txt
AFL-PC-01-AFFLFORNNCTN,Foreign-Address-City,F990-PC-PART-00-SECTION-HB1B-col-b-02c,Return/ReturnData/AffiliateListing/Affiliate/AddressForeign/City
AFL-PC-01-AFFLFORNNCTN,Foreign-Address-City,F990-PC-PART-00-SECTION-HB1B-col-b-02c,Return/ReturnData/AffiliateListing/Affiliate/AddressForeign/Country
AFL-PC-01-AFFLFORNNCTN,Foreign-Address-City,F990-PC-PART-00-SECTION-HB1B-col-b-02c,Return/ReturnData/AffiliateListing/AffiliateListingGrp/ForeignAddress/City
AFL-PC-01-AFFLFORNNCTN,Foreign-Address-City,F990-PC-PART-00-SECTION-HB1B-col-b-02c,Return/ReturnData/AffiliateListing/AffiliateListingGrp/ForeignAddress/CityNm
AFL-PC-01-AFFLFORNNPROV,Foreign-Address-Providence,F990-PC-PART-00-SECTION-HB1B-col-b-02d,Return/ReturnData/AffiliateListing/Affiliate/AddressForeign/ProvinceOrState
AFL-PC-01-AFFLFORNNPROV,Foreign-Address-Providence,F990-PC-PART-00-SECTION-HB1B-col-b-02d,Return/ReturnData/AffiliateListing/AffiliateListingGrp/ForeignAddress/ProvinceOrState
AFL-PC-01-AFFLFORNNPROV,Foreign-Address-Providence,F990-PC-PART-00-SECTION-HB1B-col-b-02d,Return/ReturnData/AffiliateListing/AffiliateListingGrp/ForeignAddress/ProvinceOrStateNm
AFL-PC-01-AFFLFORNNPOST,Foreign-Address-Postal Code,F990-PC-PART-00-SECTION-HB1B-col-b-02e,Return/ReturnData/AffiliateListing/Affiliate/AddressForeign/PostalCode
AFL-PC-01-AFFLFORNNPOST,Foreign-Address-Postal Code,F990-PC-PART-00-SECTION-HB1B-col-b-02e,Return/ReturnData/AffiliateListing/AffiliateListingGrp/ForeignAddress/PostalCode
AFL-PC-01-AFFLFORNNPOST,Foreign-Address-Postal Code,F990-PC-PART-00-SECTION-HB1B-col-b-02e,Return/ReturnData/AffiliateListing/AffiliateListingGrp/ForeignAddress/ForeignPostalCd
AFL-PC-01-AFFLFORNNCONT,Foreign-Address-Country,F990-PC-PART-00-SECTION-HB1B-col-b-02f,Return/ReturnData/AffiliateListing/AffiliateListingGrp/ForeignAddress/Country
AFL-PC-01-AFFLFORNNCONT,Foreign-Address-Country,F990-PC-PART-00-SECTION-HB1B-col-b-02f,Return/ReturnData/AffiliateListing/AffiliateListingGrp/ForeignAddress/CountryCd
AFL-PC-01-AFFLSTNGRPEIN,Affiliate/Subordinate EIN,F990-PC-PART-00-SECTION-HB1B-col-c,Return/ReturnData/AffiliateListing/Affiliate/EIN
AFL-PC-01-AFFLSTNGRPEIN,Affiliate/Subordinate EIN,F990-PC-PART-00-SECTION-HB1B-col-c,Return/ReturnData/AffiliateListing/AffiliateListingGrp/EIN
AFS-PF-01-ACCOFEESCATE,Category,SCHED-PF-PART-01-LINE-16-COL-A,Return/ReturnData/AccountingFeesSchedule/AccountingFees/Category
AFS-PF-01-ACCFEEDETCAT,Category,SCHED-PF-PART-01-LINE-16-COL-A,Return/ReturnData/AccountingFeesSchedule/AccountingFeesDetail/CategoryTxt
AFS-PF-01-ACCOFEESAMOU,Amount,SCHED-PF-PART-01-LINE-16-COL-B,Return/ReturnData/AccountingFeesSchedule/AccountingFees/Amount
AFS-PF-01-ACCOFEESDETA,Amount,SCHED-PF-PART-01-LINE-16-COL-B,Return/ReturnData/AccountingFeesSchedule/AccountingFeesDetail/Amt
AFS-PF-01-ACFENEININNC,Net Investment Income,SCHED-PF-PART-01-LINE-16-COL-C,Return/ReturnData/AccountingFeesSchedule/AccountingFees/NetInvestmentIncome
AFS-PF-01-ACFEDENEININ,Net Investment Income,SCHED-PF-PART-01-LINE-16-COL-C,Return/ReturnData/AccountingFeesSchedule/AccountingFeesDetail/NetInvestmentIncomeAmt
AFS-PF-01-ACFEADNEINNC,Adjusted Net Income,SCHED-PF-PART-01-LINE-16-COL-D,Return/ReturnData/AccountingFeesSchedule/AccountingFees/AdjustedNetIncome
AFS-PF-01-ACFEDEADNEIN,Adjusted Net Income,SCHED-PF-PART-01-LINE-16-COL-D,Return/ReturnData/AccountingFeesSchedule/AccountingFeesDetail/AdjustedNetIncomeAmt
AFS-PF-01-ACFEDICHPRRP,Disbursements for Charitable Purposes,SCHED-PF-PART-01-LINE-16-COL-E,Return/ReturnData/AccountingFeesSchedule/AccountingFees/DisbursementsCharitablePrps
AFS-PF-01-ACFEDEDICHPR,Disbursements for Charitable Purposes,SCHED-PF-PART-01-LINE-16-COL-E,Return/ReturnData/AccountingFeesSchedule/AccountingFeesDetail/DisbursementsCharitablePrpsAmt
SC-PC-02-AFFGAEPXXXA,Explanation,SCHED-C-PART-02A-LINE-A,Return/ReturnData/AffiliatedGroupAttachment/Explanation
SC-PC-02-AFFGAEPXXXA,Explanation,SCHED-C-PART-02A-LINE-A,Return/ReturnData/AffiliatedGroupAttachment/MeduimExplanationTxt
SC-PC-02-AGSASBNLERRD1,Business Line 1,SCHED-C-PART-02A-LINE-B-COL-A01,Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/BusinessName/BusinessNameLine1
SC-PC-02-AGSASBNLERRD1,Business Line 1,SCHED-C-PART-02A-LINE-B-COL-A01,Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/BusinessName/BusinessNameLine1
SC-PC-02-AGSASBNLERRD1,Business Line 1,SCHED-C-PART-02A-LINE-B-COL-A01,Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/BusinessName/BusinessNameLine1Txt
SC-PC-02-AGSASBNLERRD1,Business Line 1,SCHED-C-PART-02A-LINE-B-COL-A01,Return/ReturnData/AffiliatedGroupSchedule/Schedule
SC-PC-02-AGSASBNLERRD2,Business Line 2,SCHED-C-PART-02A-LINE-B-COL-A02,Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/BusinessName/BusinessNameLine2
SC-PC-02-AGSASBNLERRD2,Business Line 2,SCHED-C-PART-02A-LINE-B-COL-A02,Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/BusinessName/BusinessNameLine2
SC-PC-02-AGSASBNLERRD2,Business Line 2,SCHED-C-PART-02A-LINE-B-COL-A02,Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/BusinessName/BusinessNameLine2Txt
SC-PC-02-AGSASBNLERRA1,US Address Line 1,SCHED-C-PART-02A-LINE-B-COL-B01,Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/AddressUS/AddressLine1
SC-PC-02-AGSASBNLERRA1,US Address Line 1,SCHED-C-PART-02A-LINE-B-COL-B01,Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/USAddress/AddressLine1
SC-PC-02-AGSASBNLERRA1,US Address Line 1,SCHED-C-PART-02A-LINE-B-COL-B01,Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/USAddress/AddressLine1Txt
SC-PC-02-AGSASBNLERRA2,US Address Line 2,SCHED-C-PART-02A-LINE-B-COL-B02,Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/AddressUS/AddressLine2
SC-PC-02-AGSASBNLERRA2,US Address Line 2,SCHED-C-PART-02A-LINE-B-COL-B02,Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/USAddress/AddressLine2
SC-PC-02-AGSASBNLERRA2,US Address Line 2,SCHED-C-PART-02A-LINE-B-COL-B02,Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/USAddress/AddressLine2Txt
SC-PC-02-AGSASBNLERRAC,US Address City,SCHED-C-PART-02A-LINE-B-COL-B03,Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/AddressUS/City
SC-PC-02-AGSASBNLERRAC,US Address City,SCHED-C-PART-02A-LINE-B-COL-B03,Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/USAddress/City
SC-PC-02-AGSASBNLERRAC,US Address City,SCHED-C-PART-02A-LINE-B-COL-B03,Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/USAddress/CityNm
SC-PC-02-AGSASBNLERRAS,US Address State,SCHED-C-PART-02A-LINE-B-COL-B04,Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/AddressUS/State
SC-PC-02-AGSASBNLERRAS,US Address State,SCHED-C-PART-02A-LINE-B-COL-B04,Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/USAddress/State
SC-PC-02-AGSASBNLERRAS,US Address State,SCHED-C-PART-02A-LINE-B-COL-B04,Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/USAddress/StateAbbreviationCd
SC-PC-02-AGSASBNLERRAZ,US Address Zip,SCHED-C-PART-02A-LINE-B-COL-B05,Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/AddressUS/ZIPCode
SC-PC-02-AGSASBNLERRAZ,US Address Zip,SCHED-C-PART-02A-LINE-B-COL-B05,Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/USAddress/ZIPCd
